number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
58.0,0.0,2024-04-12 14:54:50.973348,2024-04-12 14:54:51.050344,0 days 00:00:00.076996,40.0,20.0,0.6,0.59,0.1,COMPLETE,,,,,,,
59.0,0.0,2024-04-12 14:54:51.051344,2024-04-12 14:54:51.103348,0 days 00:00:00.052004,10.0,30.0,0.30000000000000004,0.51,0.4,COMPLETE,,,,,,,
60.0,0.0,2024-04-12 14:54:51.104348,2024-04-12 14:54:51.170345,0 days 00:00:00.065997,50.0,10.0,0.9,0.99,0.5,COMPLETE,,,,,,,
61.0,0.0,2024-04-12 14:54:51.172359,2024-04-12 14:54:51.239323,0 days 00:00:00.066964,20.0,30.0,0.1,0.65,0.6,COMPLETE,,,,,,,
62.0,0.0,2024-04-12 14:54:51.240349,2024-04-12 14:54:51.305322,0 days 00:00:00.064973,20.0,30.0,0.2,0.6900000000000001,0.6,COMPLETE,,,,,,,
63.0,0.0,2024-04-12 14:54:51.306348,2024-04-12 14:54:51.362347,0 days 00:00:00.055999,10.0,40.0,0.1,0.8300000000000001,0.5,COMPLETE,,,,,,,
64.0,0.0,2024-04-12 14:54:51.363348,2024-04-12 14:54:51.459347,0 days 00:00:00.095999,60.0,20.0,0.2,0.75,0.7000000000000001,COMPLETE,,,,,,,
65.0,0.0,2024-04-12 14:54:51.460349,2024-04-12 14:54:51.555349,0 days 00:00:00.095000,40.0,30.0,0.30000000000000004,0.53,0.30000000000000004,COMPLETE,,,,,,,
66.0,0.0,2024-04-12 14:54:51.556349,2024-04-12 14:54:51.611348,0 days 00:00:00.054999,30.0,10.0,0.5,0.5700000000000001,0.9,COMPLETE,,,,,,,
67.0,0.0,2024-04-12 14:54:51.612350,2024-04-12 14:54:51.670349,0 days 00:00:00.057999,20.0,20.0,0.6,0.61,0.2,COMPLETE,,,,,,,
68.0,0.0,2024-04-12 14:54:51.671348,2024-04-12 14:54:51.724349,0 days 00:00:00.053001,10.0,30.0,0.4,0.81,0.9,COMPLETE,,,,,,,
69.0,0.0,2024-04-12 14:54:51.725349,2024-04-12 14:54:51.783347,0 days 00:00:00.057998,10.0,40.0,0.7000000000000001,0.13,0.5,COMPLETE,,,,,,,
70.0,0.0,2024-04-12 14:54:51.784348,2024-04-12 14:54:51.834347,0 days 00:00:00.049999,20.0,10.0,0.30000000000000004,0.7100000000000001,1.0,COMPLETE,,,,,,,
71.0,0.0,2024-04-12 14:54:51.835347,2024-04-12 14:54:51.897348,0 days 00:00:00.062001,10.0,50.0,0.6,0.6900000000000001,0.2,COMPLETE,,,,,,,
72.0,0.0,2024-04-12 14:54:51.898348,2024-04-12 14:54:51.963348,0 days 00:00:00.065000,10.0,60.0,0.5,0.75,0.1,COMPLETE,,,,,,,
73.0,0.0,2024-04-12 14:54:51.964348,2024-04-12 14:54:52.030349,0 days 00:00:00.066001,10.0,60.0,0.5,0.63,0.30000000000000004,COMPLETE,,,,,,,
74.0,0.0,2024-04-12 14:54:52.031349,2024-04-12 14:54:52.161348,0 days 00:00:00.129999,40.0,50.0,0.7000000000000001,0.79,0.4,COMPLETE,,,,,,,
75.0,0.0,2024-04-12 14:54:52.162348,2024-04-12 14:54:52.236349,0 days 00:00:00.074001,20.0,30.0,0.6,0.29000000000000004,0.2,COMPLETE,,,,,,,
76.0,0.0,2024-04-12 14:54:52.237322,2024-04-12 14:54:52.338320,0 days 00:00:00.100998,20.0,60.0,0.4,0.67,0.6,COMPLETE,,,,,,,
77.0,0.0,2024-04-12 14:54:52.339320,2024-04-12 14:54:52.400349,0 days 00:00:00.061029,10.0,50.0,0.8,0.23,0.2,COMPLETE,,,,,,,
78.0,0.0,2024-04-12 14:54:52.401348,2024-04-12 14:54:52.473348,0 days 00:00:00.072000,30.0,20.0,0.1,0.73,0.7000000000000001,COMPLETE,,,,,,,
79.0,0.0,2024-04-12 14:54:52.474354,2024-04-12 14:54:52.527348,0 days 00:00:00.052994,10.0,20.0,0.6,0.43,0.8,COMPLETE,,,,,,,
80.0,0.0,2024-04-12 14:54:52.528348,2024-04-12 14:54:52.623349,0 days 00:00:00.095001,40.0,30.0,0.2,0.89,0.1,COMPLETE,,,,,,,
81.0,0.0,2024-04-12 14:54:52.625323,2024-04-12 14:54:52.805348,0 days 00:00:00.180025,50.0,60.0,0.30000000000000004,0.65,1.0,COMPLETE,,,,,,,
82.0,0.0,2024-04-12 14:54:52.806348,2024-04-12 14:54:52.985412,0 days 00:00:00.179064,50.0,60.0,0.4,0.7100000000000001,1.0,COMPLETE,,,,,,,
83.0,0.0,2024-04-12 14:54:52.987411,2024-04-12 14:54:53.194410,0 days 00:00:00.206999,60.0,60.0,0.2,0.59,0.30000000000000004,COMPLETE,,,,,,,
84.0,0.0,2024-04-12 14:54:53.195410,2024-04-12 14:54:53.282411,0 days 00:00:00.087001,20.0,50.0,0.4,0.17,1.0,COMPLETE,,,,,,,
85.0,0.0,2024-04-12 14:54:53.283413,2024-04-12 14:54:53.407410,0 days 00:00:00.123997,30.0,60.0,0.5,0.77,0.9,COMPLETE,,,,,,,
86.0,0.0,2024-04-12 14:54:53.409417,2024-04-12 14:54:53.545387,0 days 00:00:00.135970,50.0,40.0,0.7000000000000001,0.33,1.0,COMPLETE,,,,,,,
87.0,0.0,2024-04-12 14:54:53.547387,2024-04-12 14:54:53.601410,0 days 00:00:00.054023,10.0,30.0,0.30000000000000004,0.65,0.9,COMPLETE,,,,,,,
88.0,0.0,2024-04-12 14:54:53.603412,2024-04-12 14:54:53.665387,0 days 00:00:00.061975,40.0,10.0,0.2,0.81,0.2,COMPLETE,,,,,,,
89.0,0.0,2024-04-12 14:54:53.666412,2024-04-12 14:54:53.776411,0 days 00:00:00.109999,30.0,50.0,1.0,0.09,0.8,COMPLETE,,,,,,,
