number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
83.0,0.0,2024-04-12 12:51:05.922650,2024-04-12 12:51:06.100627,0 days 00:00:00.177977,60.0,40.0,0.52,0.7100000000000001,0.14,COMPLETE,,,,,,,
84.0,0.0,2024-04-12 12:51:06.101625,2024-04-12 12:51:06.270648,0 days 00:00:00.169023,80.0,30.0,0.72,0.41000000000000003,0.84,COMPLETE,,,,,,,
85.0,0.0,2024-04-12 12:51:06.272627,2024-04-12 12:51:06.630626,0 days 00:00:00.357999,90.0,60.0,0.38,0.65,0.58,COMPLETE,,,,,,,
86.0,0.0,2024-04-12 12:51:06.631626,2024-04-12 12:51:06.728265,0 days 00:00:00.096639,20.0,50.0,0.48,0.53,0.72,COMPLETE,,,,,,,
87.0,0.0,2024-04-12 12:51:06.729916,2024-04-12 12:51:06.837270,0 days 00:00:00.107354,60.0,20.0,0.6,0.27,0.66,COMPLETE,,,,,,,
88.0,0.0,2024-04-12 12:51:06.838245,2024-04-12 12:51:06.967246,0 days 00:00:00.129001,40.0,40.0,0.24000000000000002,0.8300000000000001,0.26,COMPLETE,,,,,,,
89.0,0.0,2024-04-12 12:51:06.969245,2024-04-12 12:51:07.288245,0 days 00:00:00.319000,70.0,70.0,0.8,0.75,0.8,COMPLETE,,,,,,,
90.0,0.0,2024-04-12 12:51:07.289245,2024-04-12 12:51:07.350271,0 days 00:00:00.061026,30.0,10.0,0.6799999999999999,0.79,0.94,COMPLETE,,,,,,,
91.0,0.0,2024-04-12 12:51:07.351243,2024-04-12 12:51:07.405269,0 days 00:00:00.054026,20.0,10.0,0.42000000000000004,0.31,1.0,COMPLETE,,,,,,,
92.0,0.0,2024-04-12 12:51:07.407246,2024-04-12 12:51:07.462265,0 days 00:00:00.055019,10.0,20.0,0.33999999999999997,0.41000000000000003,0.96,COMPLETE,,,,,,,
93.0,0.0,2024-04-12 12:51:07.463244,2024-04-12 12:51:07.592246,0 days 00:00:00.129002,20.0,80.0,0.45999999999999996,0.35000000000000003,0.9,COMPLETE,,,,,,,
94.0,0.0,2024-04-12 12:51:07.593244,2024-04-12 12:51:07.907265,0 days 00:00:00.314021,80.0,60.0,0.52,0.19,0.94,COMPLETE,,,,,,,
95.0,0.0,2024-04-12 12:51:07.908269,2024-04-12 12:51:07.996269,0 days 00:00:00.088000,20.0,40.0,0.72,0.49,0.54,COMPLETE,,,,,,,
96.0,0.0,2024-04-12 12:51:07.997246,2024-04-12 12:51:08.058267,0 days 00:00:00.061021,30.0,10.0,0.4,0.87,0.98,COMPLETE,,,,,,,
97.0,0.0,2024-04-12 12:51:08.060243,2024-04-12 12:51:08.306406,0 days 00:00:00.246163,50.0,70.0,0.64,0.97,0.30000000000000004,COMPLETE,,,,,,,
98.0,0.0,2024-04-12 12:51:08.308381,2024-04-12 12:51:08.403454,0 days 00:00:00.095073,20.0,50.0,0.56,0.43,0.42000000000000004,COMPLETE,,,,,,,
99.0,0.0,2024-04-12 12:51:08.405381,2024-04-12 12:51:08.464550,0 days 00:00:00.059169,10.0,30.0,0.48,0.39,0.12000000000000001,COMPLETE,,,,,,,
100.0,0.0,2024-04-12 12:51:08.465542,2024-04-12 12:51:09.016309,0 days 00:00:00.550767,90.0,100.0,0.44000000000000006,0.6900000000000001,0.5,COMPLETE,,,,,,,
101.0,0.0,2024-04-12 12:51:09.017316,2024-04-12 12:51:09.605336,0 days 00:00:00.588020,100.0,100.0,0.58,0.09,0.38,COMPLETE,,,,,,,
102.0,0.0,2024-04-12 12:51:09.606309,2024-04-12 12:51:10.115348,0 days 00:00:00.509039,90.0,100.0,0.98,0.01,0.45999999999999996,COMPLETE,,,,,,,
103.0,0.0,2024-04-12 12:51:10.116350,2024-04-12 12:51:10.642347,0 days 00:00:00.525997,100.0,90.0,0.9,0.15000000000000002,0.2,COMPLETE,,,,,,,
104.0,0.0,2024-04-12 12:51:10.643350,2024-04-12 12:51:11.212513,0 days 00:00:00.569163,100.0,100.0,0.94,0.03,0.88,COMPLETE,,,,,,,
105.0,0.0,2024-04-12 12:51:11.213508,2024-04-12 12:51:11.731487,0 days 00:00:00.517979,100.0,90.0,0.76,0.05,0.4,COMPLETE,,,,,,,
106.0,0.0,2024-04-12 12:51:11.732489,2024-04-12 12:51:11.905513,0 days 00:00:00.173024,30.0,80.0,0.66,0.93,0.18,COMPLETE,,,,,,,
107.0,0.0,2024-04-12 12:51:11.906513,2024-04-12 12:51:12.219486,0 days 00:00:00.312973,70.0,70.0,1.0,0.09,0.33999999999999997,COMPLETE,,,,,,,
108.0,0.0,2024-04-12 12:51:12.220488,2024-04-12 12:51:12.453487,0 days 00:00:00.232999,80.0,40.0,0.94,0.81,0.44000000000000006,COMPLETE,,,,,,,
109.0,0.0,2024-04-12 12:51:12.454487,2024-04-12 12:51:12.796513,0 days 00:00:00.342026,60.0,90.0,0.52,0.89,0.82,COMPLETE,,,,,,,
110.0,0.0,2024-04-12 12:51:12.797488,2024-04-12 12:51:12.876513,0 days 00:00:00.079025,20.0,30.0,0.6,0.85,1.0,COMPLETE,,,,,,,
111.0,0.0,2024-04-12 12:51:12.877489,2024-04-12 12:51:13.141384,0 days 00:00:00.263895,40.0,100.0,0.82,0.23,0.62,COMPLETE,,,,,,,
112.0,0.0,2024-04-12 12:51:13.142489,2024-04-12 12:51:13.456666,0 days 00:00:00.314177,50.0,100.0,0.86,0.25,0.56,COMPLETE,,,,,,,
113.0,0.0,2024-04-12 12:51:13.457669,2024-04-12 12:51:13.721641,0 days 00:00:00.263972,40.0,100.0,0.74,0.31,0.52,COMPLETE,,,,,,,
114.0,0.0,2024-04-12 12:51:13.722642,2024-04-12 12:51:13.860640,0 days 00:00:00.137998,30.0,60.0,0.78,0.11,0.78,COMPLETE,,,,,,,
115.0,0.0,2024-04-12 12:51:13.861640,2024-04-12 12:51:14.004667,0 days 00:00:00.143027,20.0,90.0,0.7,0.45,0.6,COMPLETE,,,,,,,
116.0,0.0,2024-04-12 12:51:14.005642,2024-04-12 12:51:14.104666,0 days 00:00:00.099024,10.0,100.0,0.18,0.17,0.48,COMPLETE,,,,,,,
117.0,0.0,2024-04-12 12:51:14.106643,2024-04-12 12:51:14.199641,0 days 00:00:00.092998,40.0,20.0,0.62,0.27,0.86,COMPLETE,,,,,,,
118.0,0.0,2024-04-12 12:51:14.200642,2024-04-12 12:51:14.484667,0 days 00:00:00.284025,60.0,70.0,0.6799999999999999,0.5700000000000001,0.66,COMPLETE,,,,,,,
119.0,0.0,2024-04-12 12:51:14.485665,2024-04-12 12:51:14.658665,0 days 00:00:00.173000,30.0,80.0,0.4,0.35000000000000003,0.84,COMPLETE,,,,,,,
120.0,0.0,2024-04-12 12:51:14.660641,2024-04-12 12:51:14.982641,0 days 00:00:00.322000,100.0,50.0,0.5,0.63,0.74,COMPLETE,,,,,,,
121.0,0.0,2024-04-12 12:51:14.983641,2024-04-12 12:51:15.473687,0 days 00:00:00.490046,90.0,90.0,0.28,0.37,0.36,COMPLETE,,,,,,,
122.0,0.0,2024-04-12 12:51:15.474682,2024-04-12 12:51:16.067679,0 days 00:00:00.592997,100.0,100.0,0.30000000000000004,0.39,0.42000000000000004,COMPLETE,,,,,,,
123.0,0.0,2024-04-12 12:51:16.068681,2024-04-12 12:51:16.555679,0 days 00:00:00.486998,100.0,80.0,0.36,0.49,0.30000000000000004,COMPLETE,,,,,,,
124.0,0.0,2024-04-12 12:51:16.556683,2024-04-12 12:51:17.088701,0 days 00:00:00.532018,100.0,90.0,0.44000000000000006,0.45,0.16,COMPLETE,,,,,,,
125.0,0.0,2024-04-12 12:51:17.089704,2024-04-12 12:51:17.219681,0 days 00:00:00.129977,50.0,30.0,0.32,0.75,0.24000000000000002,COMPLETE,,,,,,,
126.0,0.0,2024-04-12 12:51:17.221681,2024-04-12 12:51:17.646929,0 days 00:00:00.425248,70.0,100.0,0.24000000000000002,0.33,0.4,COMPLETE,,,,,,,
127.0,0.0,2024-04-12 12:51:17.648907,2024-04-12 12:51:18.045904,0 days 00:00:00.396997,90.0,70.0,0.76,0.41000000000000003,0.32,COMPLETE,,,,,,,
128.0,0.0,2024-04-12 12:51:18.046905,2024-04-12 12:51:18.199932,0 days 00:00:00.153027,20.0,100.0,0.82,0.29000000000000004,0.45999999999999996,COMPLETE,,,,,,,
129.0,0.0,2024-04-12 12:51:18.201902,2024-04-12 12:51:18.351930,0 days 00:00:00.150028,90.0,20.0,0.22,0.73,0.12000000000000001,COMPLETE,,,,,,,
130.0,0.0,2024-04-12 12:51:18.352904,2024-04-12 12:51:18.547928,0 days 00:00:00.195024,30.0,90.0,0.12000000000000001,0.35000000000000003,0.94,COMPLETE,,,,,,,
131.0,0.0,2024-04-12 12:51:18.548905,2024-04-12 12:51:18.763903,0 days 00:00:00.214998,50.0,60.0,0.72,0.91,0.6799999999999999,COMPLETE,,,,,,,
132.0,0.0,2024-04-12 12:51:18.764904,2024-04-12 12:51:18.960930,0 days 00:00:00.196026,40.0,70.0,0.64,0.21000000000000002,0.58,COMPLETE,,,,,,,
133.0,0.0,2024-04-12 12:51:18.961904,2024-04-12 12:51:19.164940,0 days 00:00:00.203036,50.0,60.0,0.66,0.03,0.62,COMPLETE,,,,,,,
134.0,0.0,2024-04-12 12:51:19.166904,2024-04-12 12:51:19.517332,0 days 00:00:00.350428,80.0,70.0,0.4,0.25,0.64,COMPLETE,,,,,,,
135.0,0.0,2024-04-12 12:51:19.518427,2024-04-12 12:51:19.860961,0 days 00:00:00.342534,70.0,80.0,0.7,0.06999999999999999,0.5,COMPLETE,,,,,,,
136.0,0.0,2024-04-12 12:51:19.861965,2024-04-12 12:51:20.071314,0 days 00:00:00.209349,60.0,50.0,0.64,0.81,0.38,COMPLETE,,,,,,,
137.0,0.0,2024-04-12 12:51:20.072339,2024-04-12 12:51:20.287341,0 days 00:00:00.215002,100.0,30.0,0.48,0.53,0.72,COMPLETE,,,,,,,
138.0,0.0,2024-04-12 12:51:20.289316,2024-04-12 12:51:20.361340,0 days 00:00:00.072024,40.0,10.0,0.78,0.13,0.6,COMPLETE,,,,,,,
139.0,0.0,2024-04-12 12:51:20.363315,2024-04-12 12:51:20.601340,0 days 00:00:00.238025,50.0,70.0,0.6799999999999999,0.29000000000000004,0.92,COMPLETE,,,,,,,
140.0,0.0,2024-04-12 12:51:20.603318,2024-04-12 12:51:20.738341,0 days 00:00:00.135023,20.0,80.0,0.45999999999999996,0.39,0.78,COMPLETE,,,,,,,
141.0,0.0,2024-04-12 12:51:20.740317,2024-04-12 12:51:20.962337,0 days 00:00:00.222020,40.0,80.0,1.0,0.5700000000000001,0.44000000000000006,COMPLETE,,,,,,,
142.0,0.0,2024-04-12 12:51:20.963336,2024-04-12 12:51:21.142340,0 days 00:00:00.179004,40.0,60.0,0.9,0.63,0.33999999999999997,COMPLETE,,,,,,,
143.0,0.0,2024-04-12 12:51:21.143315,2024-04-12 12:51:21.338349,0 days 00:00:00.195034,30.0,90.0,0.96,0.65,0.52,COMPLETE,,,,,,,
144.0,0.0,2024-04-12 12:51:21.339317,2024-04-12 12:51:21.480340,0 days 00:00:00.141023,40.0,40.0,0.98,0.53,0.98,COMPLETE,,,,,,,
145.0,0.0,2024-04-12 12:51:21.481316,2024-04-12 12:51:21.868297,0 days 00:00:00.386981,60.0,100.0,0.92,0.77,0.4,COMPLETE,,,,,,,
146.0,0.0,2024-04-12 12:51:21.869295,2024-04-12 12:51:22.165297,0 days 00:00:00.296002,50.0,90.0,0.56,0.59,0.56,COMPLETE,,,,,,,
147.0,0.0,2024-04-12 12:51:22.167274,2024-04-12 12:51:22.343297,0 days 00:00:00.176023,30.0,80.0,0.74,0.21000000000000002,0.96,COMPLETE,,,,,,,
