number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_lb,params_s_force,params_ub,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,lb,ub,best_value,record_type
49.0,0.0,2024-04-12 12:58:06.567063,2024-04-12 12:58:06.696083,0 days 00:00:00.129020,50.0,30.0,0.38,0.9500000000000001,-20.0,0.9,100.0,COMPLETE,,,,,,,,,
50.0,0.0,2024-04-12 12:58:06.697059,2024-04-12 12:58:06.800083,0 days 00:00:00.103024,10.0,90.0,0.88,0.85,-30.0,0.56,20.0,COMPLETE,,,,,,,,,
51.0,0.0,2024-04-12 12:58:06.802060,2024-04-12 12:58:06.980997,0 days 00:00:00.178937,40.0,60.0,0.96,0.75,-90.0,0.32,80.0,COMPLETE,,,,,,,,,
52.0,0.0,2024-04-12 12:58:06.981978,2024-04-12 12:58:07.162994,0 days 00:00:00.181016,30.0,70.0,0.94,0.87,-80.0,0.36,90.0,COMPLETE,,,,,,,,,
53.0,0.0,2024-04-12 12:58:07.163996,2024-04-12 12:58:07.325972,0 days 00:00:00.161976,30.0,70.0,0.72,0.6900000000000001,-70.0,0.2,100.0,COMPLETE,,,,,,,,,
54.0,0.0,2024-04-12 12:58:07.326973,2024-04-12 12:58:07.509994,0 days 00:00:00.183021,50.0,50.0,0.8,0.93,-90.0,0.14,80.0,COMPLETE,,,,,,,,,
55.0,0.0,2024-04-12 12:58:07.511973,2024-04-12 12:58:07.799974,0 days 00:00:00.288001,70.0,60.0,0.88,0.79,-10.0,0.24000000000000002,90.0,COMPLETE,,,,,,,,,
56.0,0.0,2024-04-12 12:58:07.800974,2024-04-12 12:58:08.066997,0 days 00:00:00.266023,40.0,100.0,1.0,0.51,-20.0,0.44000000000000006,70.0,COMPLETE,,,,,,,,,
57.0,0.0,2024-04-12 12:58:08.067999,2024-04-12 12:58:08.202994,0 days 00:00:00.134995,20.0,80.0,0.78,0.59,-60.0,0.84,50.0,COMPLETE,,,,,,,,,
58.0,0.0,2024-04-12 12:58:08.203973,2024-04-12 12:58:08.420971,0 days 00:00:00.216998,60.0,50.0,0.62,0.37,-100.0,0.28,60.0,COMPLETE,,,,,,,,,
