number,value,datetime_start,datetime_complete,duration,params_gene_max,params_gene_min,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,gene_min,gene_max,var,best_value,record_type
51.0,0.00020334800160038313,2024-04-26 00:44:37.724191,2024-04-26 00:44:39.917460,0 days 00:00:02.193269,440.0,-120.0,0.30000000000000004,900.0,370.0,2.0,COMPLETE,,,,,,,,
52.0,0.0001699664011585207,2024-04-26 00:44:39.918484,2024-04-26 00:44:42.067192,0 days 00:00:02.148708,480.0,-80.0,0.30000000000000004,860.0,390.0,2.0,COMPLETE,,,,,,,,
53.0,9.854294316745926e-05,2024-04-26 00:44:42.068192,2024-04-26 00:44:44.447496,0 days 00:00:02.379304,380.0,-160.0,0.4,820.0,430.0,2.0,COMPLETE,,,,,,,,
54.0,0.0002325403775961851,2024-04-26 00:44:44.448497,2024-04-26 00:44:46.672670,0 days 00:00:02.224173,340.0,-220.0,0.4,780.0,430.0,2.0,COMPLETE,,,,,,,,
55.0,0.0002876598166472111,2024-04-26 00:44:46.673647,2024-04-26 00:44:49.457556,0 days 00:00:02.783909,400.0,-160.0,0.4,820.0,490.0,2.0,COMPLETE,,,,,,,,
56.0,0.0011192947674613927,2024-04-26 00:44:49.458578,2024-04-26 00:44:51.489648,0 days 00:00:02.031070,360.0,-180.0,0.6,660.0,430.0,2.0,COMPLETE,,,,,,,,
57.0,0.0005309982076081994,2024-04-26 00:44:51.491647,2024-04-26 00:44:54.542301,0 days 00:00:03.050654,420.0,-200.0,0.5,980.0,450.0,2.0,COMPLETE,,,,,,,,
58.0,0.005544880670967225,2024-04-26 00:44:54.543322,2024-04-26 00:44:56.159059,0 days 00:00:01.615737,300.0,-80.0,0.30000000000000004,700.0,350.0,2.0,COMPLETE,,,,,,,,
59.0,0.00015484694695456808,2024-04-26 00:44:56.160062,2024-04-26 00:44:57.483062,0 days 00:00:01.323000,380.0,-40.0,0.2,540.0,390.0,2.0,COMPLETE,,,,,,,,
60.0,0.005740207906227992,2024-04-26 00:44:57.484066,2024-04-26 00:44:58.519201,0 days 00:00:01.035135,180.0,-140.0,0.9,820.0,170.0,2.0,COMPLETE,,,,,,,,
61.0,0.0007687953433454449,2024-04-26 00:44:58.520202,2024-04-26 00:44:59.770524,0 days 00:00:01.250322,380.0,-20.0,0.2,460.0,410.0,2.0,COMPLETE,,,,,,,,
62.0,0.0008086029372803802,2024-04-26 00:44:59.772525,2024-04-26 00:45:01.102525,0 days 00:00:01.330000,340.0,-60.0,0.1,540.0,390.0,2.0,COMPLETE,,,,,,,,
63.0,0.00020814227793736334,2024-04-26 00:45:01.104526,2024-04-26 00:45:03.309895,0 days 00:00:02.205369,460.0,-100.0,0.2,780.0,450.0,2.0,COMPLETE,,,,,,,,
64.0,0.0023005700441924245,2024-04-26 00:45:03.311896,2024-04-26 00:45:04.215191,0 days 00:00:00.903295,380.0,-220.0,0.2,580.0,250.0,2.0,COMPLETE,,,,,,,,
65.0,0.0010571913166190008,2024-04-26 00:45:04.216210,2024-04-26 00:45:06.342190,0 days 00:00:02.125980,420.0,-120.0,0.30000000000000004,940.0,350.0,2.0,COMPLETE,,,,,,,,
66.0,0.0003270933341685084,2024-04-26 00:45:06.344192,2024-04-26 00:45:08.921428,0 days 00:00:02.577236,480.0,-40.0,0.1,860.0,490.0,2.0,COMPLETE,,,,,,,,
67.0,0.0016678666713513734,2024-04-26 00:45:08.923427,2024-04-26 00:45:09.977406,0 days 00:00:01.053979,400.0,-160.0,0.2,380.0,430.0,2.0,COMPLETE,,,,,,,,
