number,value,datetime_start,datetime_complete,duration,params_alpha,params_initial_temperature,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,no_generations,mutation_ratio,var,initial_temperature,alpha,best_value,record_type
100.0,0.021647102835270715,2024-04-26 03:42:17.915171,2024-04-26 03:42:19.896455,0 days 00:00:01.981284,0.7558468391654023,111.0,0.15105018717118612,580.0,380.0,2.0,COMPLETE,,,,,,,,
101.0,0.03081135441994931,2024-04-26 03:42:19.897454,2024-04-26 03:42:21.274259,0 days 00:00:01.376805,0.8952552496434737,168.0,0.1257409898591313,420.0,364.0,2.0,COMPLETE,,,,,,,,
102.0,0.010798504700831657,2024-04-26 03:42:21.275237,2024-04-26 03:42:22.899472,0 days 00:00:01.624235,0.6575339546453559,86.0,0.18464113350719089,393.0,451.0,2.0,COMPLETE,,,,,,,,
103.0,0.0016360423569015126,2024-04-26 03:42:22.901454,2024-04-26 03:42:24.372037,0 days 00:00:01.470583,0.8311400315511599,50.0,0.21364940024066023,415.0,387.0,2.0,COMPLETE,,,,,,,,
104.0,0.010424450017200826,2024-04-26 03:42:24.373040,2024-04-26 03:42:25.566125,0 days 00:00:01.193085,0.8393638560688449,59.0,0.28940398662896016,324.0,391.0,2.0,COMPLETE,,,,,,,,
105.0,0.02155714847362944,2024-04-26 03:42:25.568126,2024-04-26 03:42:27.594698,0 days 00:00:02.026572,0.7282675102654759,50.0,0.3253875855689042,546.0,405.0,2.0,COMPLETE,,,,,,,,
106.0,0.032510659661886265,2024-04-26 03:42:27.596721,2024-04-26 03:42:28.971991,0 days 00:00:01.375270,0.7989509285614392,68.0,0.23640906253993318,387.0,383.0,2.0,COMPLETE,,,,,,,,
107.0,0.03738155262077747,2024-04-26 03:42:28.972990,2024-04-26 03:42:31.197832,0 days 00:00:02.224842,0.7842414862931001,78.0,0.21231956599116156,568.0,430.0,2.0,COMPLETE,,,,,,,,
108.0,0.03197399882023788,2024-04-26 03:42:31.198831,2024-04-26 03:42:32.643981,0 days 00:00:01.445150,0.8161414699168148,88.0,0.17300998904673934,446.0,358.0,2.0,COMPLETE,,,,,,,,
109.0,0.034234675010210935,2024-04-26 03:42:32.644980,2024-04-26 03:42:34.016637,0 days 00:00:01.371657,0.7131150421438576,268.0,0.28108081027795895,428.0,347.0,2.0,COMPLETE,,,,,,,,
110.0,0.07258073566133483,2024-04-26 03:42:34.017638,2024-04-26 03:42:35.742087,0 days 00:00:01.724449,0.7498796374082587,121.0,0.8029810480818007,402.0,419.0,2.0,COMPLETE,,,,,,,,
111.0,0.024364682437390428,2024-04-26 03:42:35.743085,2024-04-26 03:42:37.094520,0 days 00:00:01.351435,0.8725771743672069,154.0,0.19974646940617585,366.0,404.0,2.0,COMPLETE,,,,,,,,
112.0,0.12537730716240247,2024-04-26 03:42:37.095518,2024-04-26 03:42:38.253677,0 days 00:00:01.158159,0.8533866203109213,460.0,0.25368416749891254,420.0,294.0,2.0,COMPLETE,,,,,,,,
113.0,0.010645729432932072,2024-04-26 03:42:38.255677,2024-04-26 03:42:39.672538,0 days 00:00:01.416861,0.8225492568331212,139.0,0.22089646356533366,413.0,372.0,2.0,COMPLETE,,,,,,,,
114.0,0.011017815848870072,2024-04-26 03:42:39.674103,2024-04-26 03:42:41.630674,0 days 00:00:01.956571,0.5808700829650977,75.0,0.23766182194704555,542.0,396.0,2.0,COMPLETE,,,,,,,,
115.0,0.12988039730806733,2024-04-26 03:42:41.631674,2024-04-26 03:42:43.043086,0 days 00:00:01.411412,0.7710242585556794,105.0,0.30451066658326886,463.0,330.0,2.0,COMPLETE,,,,,,,,
116.0,0.21401887797407682,2024-04-26 03:42:43.044065,2024-04-26 03:42:45.091975,0 days 00:00:02.047910,0.1228962540584902,90.0,0.16555846928844214,555.0,411.0,2.0,COMPLETE,,,,,,,,
117.0,0.07592508000898057,2024-04-26 03:42:45.093975,2024-04-26 03:42:45.763975,0 days 00:00:00.670000,0.6237617559078227,385.0,0.26470141065471686,413.0,173.0,2.0,COMPLETE,,,,,,,,
118.0,0.008364857049372176,2024-04-26 03:42:45.764954,2024-04-26 03:42:47.146530,0 days 00:00:01.381576,0.643464500186007,71.0,0.34957276949017807,480.0,308.0,2.0,COMPLETE,,,,,,,,
119.0,0.29742926269013736,2024-04-26 03:42:47.147529,2024-04-26 03:42:48.214072,0 days 00:00:01.066543,0.7898763805464871,60.0,0.2088137338183828,431.0,270.0,1.0,COMPLETE,,,,,,,,
120.0,0.0896128741894131,2024-04-26 03:42:48.215193,2024-04-26 03:42:49.924055,0 days 00:00:01.708862,0.13922945326771652,50.0,0.19190413070292844,395.0,466.0,2.0,COMPLETE,,,,,,,,
121.0,0.10636835603065542,2024-04-26 03:42:49.925054,2024-04-26 03:42:51.474823,0 days 00:00:01.549769,0.3011449262046332,153.0,0.2780104145807055,452.0,375.0,2.0,COMPLETE,,,,,,,,
122.0,0.09765214283296153,2024-04-26 03:42:51.476825,2024-04-26 03:42:51.978824,0 days 00:00:00.501999,0.6814250319081905,172.0,0.2485160871633117,438.0,118.0,2.0,COMPLETE,,,,,,,,
123.0,0.0011631934362572593,2024-04-26 03:42:51.980802,2024-04-26 03:42:53.626515,0 days 00:00:01.645713,0.8367523063104785,162.0,0.22778533041880752,494.0,363.0,2.0,COMPLETE,,,,,,,,
124.0,0.018002626655569287,2024-04-26 03:42:53.627499,2024-04-26 03:42:55.245785,0 days 00:00:01.618286,0.8276117982724803,282.0,0.1466725626617213,492.0,365.0,2.0,COMPLETE,,,,,,,,
125.0,0.011638270594986011,2024-04-26 03:42:55.246788,2024-04-26 03:42:56.939458,0 days 00:00:01.692670,0.8536202584108888,141.0,0.22679568891133334,523.0,355.0,2.0,COMPLETE,,,,,,,,
126.0,0.018453759400824055,2024-04-26 03:42:56.940451,2024-04-26 03:42:58.686313,0 days 00:00:01.745862,0.15660634928509032,188.0,0.17645009490632454,503.0,387.0,2.0,COMPLETE,,,,,,,,
