number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
79.0,0.3019876942609958,2024-04-25 23:42:44.988580,2024-04-25 23:42:45.213613,0 days 00:00:00.225033,0.1,20.0,980.0,1.0,COMPLETE,,,,,,
80.0,0.005371404204668195,2024-04-25 23:42:45.215608,2024-04-25 23:42:50.655271,0 days 00:00:05.439663,0.1,980.0,620.0,1.0,COMPLETE,,,,,,
81.0,0.00142674707519852,2024-04-25 23:42:50.657290,2024-04-25 23:42:56.692822,0 days 00:00:06.035532,0.2,800.0,800.0,1.0,COMPLETE,,,,,,
82.0,0.00702882770764468,2024-04-25 23:42:56.694988,2024-04-25 23:43:01.369644,0 days 00:00:04.674656,0.2,800.0,640.0,1.0,COMPLETE,,,,,,
83.0,0.002680921973189143,2024-04-25 23:43:01.370668,2024-04-25 23:43:07.112513,0 days 00:00:05.741845,0.2,860.0,730.0,1.0,COMPLETE,,,,,,
84.0,0.015626564823293165,2024-04-25 23:43:07.113489,2024-04-25 23:43:12.711355,0 days 00:00:05.597866,0.1,760.0,800.0,1.0,COMPLETE,,,,,,
85.0,0.0886921142882997,2024-04-25 23:43:12.712357,2024-04-25 23:43:13.694357,0 days 00:00:00.982000,0.2,940.0,120.0,1.0,COMPLETE,,,,,,
86.0,0.002140655571155392,2024-04-25 23:43:13.695357,2024-04-25 23:43:19.329186,0 days 00:00:05.633829,0.2,900.0,690.0,2.0,COMPLETE,,,,,,
87.0,0.005236411294978538,2024-04-25 23:43:19.330187,2024-04-25 23:43:25.074147,0 days 00:00:05.743960,0.1,840.0,760.0,1.0,COMPLETE,,,,,,
88.0,0.00037164670595757343,2024-04-25 23:43:25.075142,2024-04-25 23:43:33.173405,0 days 00:00:08.098263,0.4,880.0,930.0,2.0,COMPLETE,,,,,,
89.0,0.004269088009975164,2024-04-25 23:43:33.174382,2024-04-25 23:43:41.442897,0 days 00:00:08.268515,0.4,900.0,930.0,2.0,COMPLETE,,,,,,
90.0,0.026838881740577136,2024-04-25 23:43:41.444910,2024-04-25 23:43:49.276816,0 days 00:00:07.831906,0.30000000000000004,940.0,850.0,2.0,COMPLETE,,,,,,
91.0,0.004951126328281319,2024-04-25 23:43:49.277808,2024-04-25 23:43:58.017578,0 days 00:00:08.739770,0.5,880.0,970.0,2.0,COMPLETE,,,,,,
92.0,0.016359542222330603,2024-04-25 23:43:58.019558,2024-04-25 23:44:04.582014,0 days 00:00:06.562456,0.4,840.0,810.0,2.0,COMPLETE,,,,,,
93.0,0.017352153589161645,2024-04-25 23:44:04.583014,2024-04-25 23:44:11.812215,0 days 00:00:07.229201,0.30000000000000004,800.0,940.0,2.0,COMPLETE,,,,,,
94.0,0.004559859411108036,2024-04-25 23:44:11.813219,2024-04-25 23:44:18.810263,0 days 00:00:06.997044,0.2,980.0,770.0,2.0,COMPLETE,,,,,,
95.0,0.01610888510872499,2024-04-25 23:44:18.811266,2024-04-25 23:44:22.834171,0 days 00:00:04.022905,0.30000000000000004,760.0,580.0,2.0,COMPLETE,,,,,,
96.0,0.008539839205214506,2024-04-25 23:44:22.835182,2024-04-25 23:44:28.541424,0 days 00:00:05.706242,0.2,860.0,720.0,1.0,COMPLETE,,,,,,
97.0,0.006208260215107231,2024-04-25 23:44:28.542425,2024-04-25 23:44:35.657301,0 days 00:00:07.114876,0.4,720.0,980.0,2.0,COMPLETE,,,,,,
98.0,0.02862749738502046,2024-04-25 23:44:35.658305,2024-04-25 23:44:42.925655,0 days 00:00:07.267350,0.30000000000000004,820.0,910.0,1.0,COMPLETE,,,,,,
99.0,0.0030094561713838175,2024-04-25 23:44:42.926656,2024-04-25 23:44:45.929215,0 days 00:00:03.002559,0.1,920.0,380.0,1.0,COMPLETE,,,,,,
100.0,0.0021617228805457245,2024-04-25 23:44:45.930213,2024-04-25 23:44:53.080708,0 days 00:00:07.150495,0.30000000000000004,880.0,850.0,2.0,COMPLETE,,,,,,
101.0,0.0007744720165234753,2024-04-25 23:44:53.081707,2024-04-25 23:45:00.043700,0 days 00:00:06.961993,0.30000000000000004,820.0,880.0,1.0,COMPLETE,,,,,,
102.0,0.020471639439023193,2024-04-25 23:45:00.045683,2024-04-25 23:45:06.841453,0 days 00:00:06.795770,0.30000000000000004,800.0,880.0,1.0,COMPLETE,,,,,,
103.0,0.025916190841201114,2024-04-25 23:45:06.842453,2024-04-25 23:45:14.395456,0 days 00:00:07.553003,0.2,780.0,1000.0,1.0,COMPLETE,,,,,,
104.0,0.025145345398218666,2024-04-25 23:45:14.396458,2024-04-25 23:45:22.810062,0 days 00:00:08.413604,0.4,880.0,950.0,1.0,COMPLETE,,,,,,
105.0,0.007806368372374806,2024-04-25 23:45:22.812062,2024-04-25 23:45:28.119933,0 days 00:00:05.307871,0.30000000000000004,680.0,810.0,1.0,COMPLETE,,,,,,
106.0,0.06744671200931052,2024-04-25 23:45:28.120931,2024-04-25 23:45:31.972392,0 days 00:00:03.851461,0.2,860.0,500.0,1.0,COMPLETE,,,,,,
107.0,0.0129327146211633,2024-04-25 23:45:31.973369,2024-04-25 23:45:38.668295,0 days 00:00:06.694926,0.4,820.0,830.0,1.0,COMPLETE,,,,,,
108.0,0.006456571010367895,2024-04-25 23:45:38.669294,2024-04-25 23:45:45.820150,0 days 00:00:07.150856,0.30000000000000004,940.0,790.0,1.0,COMPLETE,,,,,,
109.0,0.011251222768382974,2024-04-25 23:45:45.821147,2024-04-25 23:45:53.539410,0 days 00:00:07.718263,0.2,900.0,900.0,2.0,COMPLETE,,,,,,
110.0,0.028684001965325834,2024-04-25 23:45:53.541441,2024-04-25 23:46:00.922357,0 days 00:00:07.380916,0.1,840.0,930.0,1.0,COMPLETE,,,,,,
111.0,0.01711377312471285,2024-04-25 23:46:00.923357,2024-04-25 23:46:07.566431,0 days 00:00:06.643074,0.30000000000000004,760.0,890.0,1.0,COMPLETE,,,,,,
112.0,0.02119841202409134,2024-04-25 23:46:07.567431,2024-04-25 23:46:15.404096,0 days 00:00:07.836665,0.30000000000000004,820.0,970.0,1.0,COMPLETE,,,,,,
113.0,0.0018166087759201588,2024-04-25 23:46:15.405264,2024-04-25 23:46:21.900735,0 days 00:00:06.495471,0.30000000000000004,780.0,860.0,1.0,COMPLETE,,,,,,
114.0,0.014561473150651594,2024-04-25 23:46:21.901735,2024-04-25 23:46:28.066176,0 days 00:00:06.164441,0.4,740.0,840.0,1.0,COMPLETE,,,,,,
115.0,0.002384547698682127,2024-04-25 23:46:28.067186,2024-04-25 23:46:36.910096,0 days 00:00:08.842910,0.7000000000000001,980.0,860.0,1.0,COMPLETE,,,,,,
116.0,0.017220833714027606,2024-04-25 23:46:36.911104,2024-04-25 23:46:42.042940,0 days 00:00:05.131836,0.2,780.0,710.0,1.0,COMPLETE,,,,,,
117.0,0.0023973494955651375,2024-04-25 23:46:42.043962,2024-04-25 23:46:50.254860,0 days 00:00:08.210898,0.30000000000000004,920.0,920.0,1.0,COMPLETE,,,,,,
118.0,0.019131889755271914,2024-04-25 23:46:50.256835,2024-04-25 23:46:56.259485,0 days 00:00:06.002650,0.30000000000000004,700.0,880.0,2.0,COMPLETE,,,,,,
119.0,0.008681343216686344,2024-04-25 23:46:56.260459,2024-04-25 23:47:03.295906,0 days 00:00:07.035447,0.2,860.0,860.0,1.0,COMPLETE,,,,,,
120.0,0.03519149064767646,2024-04-25 23:47:03.296904,2024-04-25 23:47:08.800269,0 days 00:00:05.503365,0.1,800.0,750.0,1.0,COMPLETE,,,,,,
121.0,0.0011916683270616346,2024-04-25 23:47:08.801270,2024-04-25 23:47:16.628260,0 days 00:00:07.826990,0.30000000000000004,840.0,950.0,1.0,COMPLETE,,,,,,
122.0,0.019014641539076393,2024-04-25 23:47:16.629281,2024-04-25 23:47:24.108268,0 days 00:00:07.478987,0.30000000000000004,800.0,950.0,1.0,COMPLETE,,,,,,
123.0,0.010890554044619805,2024-04-25 23:47:24.109283,2024-04-25 23:47:31.592431,0 days 00:00:07.483148,0.30000000000000004,840.0,910.0,1.0,COMPLETE,,,,,,
124.0,0.027804552457881826,2024-04-25 23:47:31.593408,2024-04-25 23:47:39.825847,0 days 00:00:08.232439,0.30000000000000004,880.0,960.0,1.0,COMPLETE,,,,,,
125.0,0.0016268430610217877,2024-04-25 23:47:39.826824,2024-04-25 23:47:43.345270,0 days 00:00:03.518446,0.4,340.0,990.0,1.0,COMPLETE,,,,,,
126.0,0.010388349501932126,2024-04-25 23:47:43.346271,2024-04-25 23:47:45.461691,0 days 00:00:02.115420,0.5,220.0,930.0,1.0,COMPLETE,,,,,,
127.0,0.06648860839528759,2024-04-25 23:47:45.462689,2024-04-25 23:47:50.428520,0 days 00:00:04.965831,0.4,500.0,990.0,2.0,COMPLETE,,,,,,
128.0,0.009390699276293546,2024-04-25 23:47:50.429515,2024-04-25 23:47:54.395044,0 days 00:00:03.965529,0.6,380.0,990.0,1.0,COMPLETE,,,,,,
129.0,0.0017630597717612773,2024-04-25 23:47:54.396043,2024-04-25 23:48:00.048460,0 days 00:00:05.652417,0.4,580.0,970.0,1.0,COMPLETE,,,,,,
130.0,0.007817447078608097,2024-04-25 23:48:00.049461,2024-04-25 23:48:05.602444,0 days 00:00:05.552983,0.5,560.0,970.0,2.0,COMPLETE,,,,,,
131.0,0.009019269914881889,2024-04-25 23:48:05.603445,2024-04-25 23:48:09.618837,0 days 00:00:04.015392,0.4,420.0,950.0,1.0,COMPLETE,,,,,,
132.0,0.1404424292114257,2024-04-25 23:48:09.619838,2024-04-25 23:48:10.364838,0 days 00:00:00.745000,0.4,80.0,900.0,1.0,COMPLETE,,,,,,
133.0,0.007737826792007851,2024-04-25 23:48:10.365840,2024-04-25 23:48:19.999194,0 days 00:00:09.633354,0.4,960.0,1000.0,1.0,COMPLETE,,,,,,
134.0,0.011947012310095317,2024-04-25 23:48:20.000174,2024-04-25 23:48:26.055729,0 days 00:00:06.055555,0.30000000000000004,620.0,940.0,1.0,COMPLETE,,,,,,
135.0,0.007672578208653746,2024-04-25 23:48:26.056728,2024-04-25 23:48:29.516371,0 days 00:00:03.459643,0.4,340.0,970.0,1.0,COMPLETE,,,,,,
136.0,0.00661801295322384,2024-04-25 23:48:29.517395,2024-04-25 23:48:32.138171,0 days 00:00:02.620776,0.30000000000000004,280.0,920.0,1.0,COMPLETE,,,,,,
137.0,0.004714185709145724,2024-04-25 23:48:32.140171,2024-04-25 23:48:39.440066,0 days 00:00:07.299895,0.30000000000000004,920.0,820.0,1.0,COMPLETE,,,,,,
138.0,0.0025838505122308675,2024-04-25 23:48:39.442085,2024-04-25 23:48:47.374288,0 days 00:00:07.932203,0.5,900.0,880.0,2.0,COMPLETE,,,,,,
139.0,0.01295083010643161,2024-04-25 23:48:47.376087,2024-04-25 23:48:53.143465,0 days 00:00:05.767378,0.2,600.0,980.0,1.0,COMPLETE,,,,,,
140.0,0.018280417658544934,2024-04-25 23:48:53.144466,2024-04-25 23:48:57.401081,0 days 00:00:04.256615,0.4,440.0,950.0,1.0,COMPLETE,,,,,,
141.0,0.0057390403165129555,2024-04-25 23:48:57.402082,2024-04-25 23:49:03.740749,0 days 00:00:06.338667,0.30000000000000004,840.0,780.0,1.0,COMPLETE,,,,,,
142.0,0.0005105432933252274,2024-04-25 23:49:03.741772,2024-04-25 23:49:10.729269,0 days 00:00:06.987497,0.2,760.0,930.0,1.0,COMPLETE,,,,,,
143.0,0.0117788081192991,2024-04-25 23:49:10.730268,2024-04-25 23:49:17.319336,0 days 00:00:06.589068,0.2,740.0,910.0,1.0,COMPLETE,,,,,,
144.0,0.013333949662946765,2024-04-25 23:49:17.321397,2024-04-25 23:49:23.763971,0 days 00:00:06.442574,0.2,760.0,870.0,1.0,COMPLETE,,,,,,
145.0,0.005128960268654836,2024-04-25 23:49:23.765685,2024-04-25 23:49:31.019946,0 days 00:00:07.254261,0.30000000000000004,780.0,930.0,1.0,COMPLETE,,,,,,
146.0,0.004292527295625348,2024-04-25 23:49:31.020946,2024-04-25 23:49:39.431398,0 days 00:00:08.410452,0.2,860.0,1000.0,1.0,COMPLETE,,,,,,
147.0,0.019208185219509843,2024-04-25 23:49:39.432399,2024-04-25 23:49:46.047371,0 days 00:00:06.614972,0.30000000000000004,820.0,840.0,2.0,COMPLETE,,,,,,
148.0,0.004476959956534188,2024-04-25 23:49:46.048371,2024-04-25 23:49:52.880122,0 days 00:00:06.831751,0.2,800.0,890.0,1.0,COMPLETE,,,,,,
149.0,0.015592265395513394,2024-04-25 23:49:52.881123,2024-04-25 23:49:57.457410,0 days 00:00:04.576287,0.30000000000000004,480.0,960.0,1.0,COMPLETE,,,,,,
150.0,0.0019285614977082588,2024-04-25 23:49:57.458409,2024-04-25 23:50:04.814706,0 days 00:00:07.356297,1.0,720.0,930.0,2.0,COMPLETE,,,,,,
