number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
60.0,-985.2249843214058,2024-04-25 22:46:00.986086,2024-04-25 22:46:14.217342,0 days 00:00:13.231256,1.0,960.0,970.0,2.0,COMPLETE,,,,,,
61.0,-982.383018134213,2024-04-25 22:46:14.218344,2024-04-25 22:46:19.176122,0 days 00:00:04.957778,0.8,720.0,530.0,2.0,COMPLETE,,,,,,
62.0,-989.669452607502,2024-04-25 22:46:19.178099,2024-04-25 22:46:24.992199,0 days 00:00:05.814100,0.9,740.0,580.0,2.0,COMPLETE,,,,,,
63.0,-984.7312887487134,2024-04-25 22:46:24.993322,2024-04-25 22:46:29.805519,0 days 00:00:04.812197,0.9,620.0,580.0,2.0,COMPLETE,,,,,,
64.0,-987.9162599420681,2024-04-25 22:46:29.806512,2024-04-25 22:46:33.983461,0 days 00:00:04.176949,1.0,680.0,460.0,2.0,COMPLETE,,,,,,
65.0,-985.3876533126877,2024-04-25 22:46:33.984440,2024-04-25 22:46:37.762966,0 days 00:00:03.778526,0.9,500.0,560.0,2.0,COMPLETE,,,,,,
66.0,-988.6717063814159,2024-04-25 22:46:37.763967,2024-04-25 22:46:45.238374,0 days 00:00:07.474407,0.9,900.0,620.0,2.0,COMPLETE,,,,,,
67.0,-983.0595659343705,2024-04-25 22:46:45.239374,2024-04-25 22:46:53.054601,0 days 00:00:07.815227,1.0,780.0,730.0,2.0,COMPLETE,,,,,,
68.0,-987.8074596553574,2024-04-25 22:46:53.055600,2024-04-25 22:46:58.053534,0 days 00:00:04.997934,0.6,560.0,680.0,2.0,COMPLETE,,,,,,
69.0,-988.1004844564884,2024-04-25 22:46:58.054512,2024-04-25 22:47:06.446793,0 days 00:00:08.392281,0.8,740.0,840.0,2.0,COMPLETE,,,,,,
70.0,-988.2807622112327,2024-04-25 22:47:06.447793,2024-04-25 22:47:10.703199,0 days 00:00:04.255406,0.1,380.0,900.0,1.0,COMPLETE,,,,,,
71.0,-979.7649832005502,2024-04-25 22:47:10.705222,2024-04-25 22:47:17.748431,0 days 00:00:07.043209,0.8,820.0,650.0,2.0,COMPLETE,,,,,,
72.0,-986.6035895285615,2024-04-25 22:47:17.749410,2024-04-25 22:47:23.491297,0 days 00:00:05.741887,0.8,720.0,600.0,2.0,COMPLETE,,,,,,
73.0,-968.5724643730255,2024-04-25 22:47:23.492296,2024-04-25 22:47:23.720296,0 days 00:00:00.228000,0.7000000000000001,20.0,720.0,2.0,COMPLETE,,,,,,
74.0,-988.9867981811618,2024-04-25 22:47:23.721296,2024-04-25 22:47:29.045371,0 days 00:00:05.324075,0.9,760.0,530.0,2.0,COMPLETE,,,,,,
75.0,-986.0307442926579,2024-04-25 22:47:29.046354,2024-04-25 22:47:35.688350,0 days 00:00:06.641996,0.7000000000000001,640.0,770.0,2.0,COMPLETE,,,,,,
76.0,-987.972830127225,2024-04-25 22:47:35.690327,2024-04-25 22:47:41.730320,0 days 00:00:06.039993,0.9,700.0,640.0,2.0,COMPLETE,,,,,,
77.0,-988.6643946968743,2024-04-25 22:47:41.731322,2024-04-25 22:47:48.638355,0 days 00:00:06.907033,1.0,740.0,680.0,2.0,COMPLETE,,,,,,
78.0,-989.0298444983734,2024-04-25 22:47:48.639357,2024-04-25 22:47:51.927227,0 days 00:00:03.287870,0.8,440.0,570.0,2.0,COMPLETE,,,,,,
79.0,-987.0808007561499,2024-04-25 22:47:51.928229,2024-04-25 22:47:57.320965,0 days 00:00:05.392736,0.9,840.0,490.0,2.0,COMPLETE,,,,,,
80.0,-977.2262444470873,2024-04-25 22:47:57.321944,2024-04-25 22:47:58.143965,0 days 00:00:00.822021,0.5,660.0,100.0,2.0,COMPLETE,,,,,,
81.0,-988.9733205070506,2024-04-25 22:47:58.144965,2024-04-25 22:48:02.861797,0 days 00:00:04.716832,0.6,520.0,700.0,2.0,COMPLETE,,,,,,
82.0,-989.7095162560238,2024-04-25 22:48:02.863796,2024-04-25 22:48:08.741130,0 days 00:00:05.877334,0.6,600.0,750.0,2.0,COMPLETE,,,,,,
83.0,-989.4593512668857,2024-04-25 22:48:08.743131,2024-04-25 22:48:17.941960,0 days 00:00:09.198829,0.7000000000000001,780.0,870.0,2.0,COMPLETE,,,,,,
84.0,-987.8605898830008,2024-04-25 22:48:18.029962,2024-04-25 22:48:25.307192,0 days 00:00:07.277230,0.6,680.0,810.0,2.0,COMPLETE,,,,,,
85.0,-989.5590612827244,2024-04-25 22:48:25.308165,2024-04-25 22:48:30.400262,0 days 00:00:05.092097,0.7000000000000001,620.0,620.0,2.0,COMPLETE,,,,,,
86.0,-987.8478033914082,2024-04-25 22:48:30.401242,2024-04-25 22:48:36.565211,0 days 00:00:06.163969,0.6,620.0,750.0,2.0,COMPLETE,,,,,,
87.0,-989.6418623782617,2024-04-25 22:48:36.567188,2024-04-25 22:48:40.876151,0 days 00:00:04.308963,0.5,560.0,610.0,2.0,COMPLETE,,,,,,
88.0,-985.6546348977602,2024-04-25 22:48:40.877152,2024-04-25 22:48:45.317608,0 days 00:00:04.440456,0.4,580.0,610.0,2.0,COMPLETE,,,,,,
89.0,-989.5623706934394,2024-04-25 22:48:45.319585,2024-04-25 22:48:48.987151,0 days 00:00:03.667566,0.5,540.0,540.0,2.0,COMPLETE,,,,,,
90.0,-988.0234515506127,2024-04-25 22:48:48.988153,2024-04-25 22:48:52.489894,0 days 00:00:03.501741,0.5,540.0,510.0,2.0,COMPLETE,,,,,,
91.0,-987.2728752854574,2024-04-25 22:48:52.490894,2024-04-25 22:48:55.914225,0 days 00:00:03.423331,0.5,500.0,540.0,2.0,COMPLETE,,,,,,
92.0,-984.8478299651628,2024-04-25 22:48:55.916228,2024-04-25 22:48:58.889233,0 days 00:00:02.973005,0.5,600.0,380.0,2.0,COMPLETE,,,,,,
93.0,-985.1250640334471,2024-04-25 22:48:58.890234,2024-04-25 22:49:04.477701,0 days 00:00:05.587467,0.4,560.0,780.0,2.0,COMPLETE,,,,,,
94.0,-989.5335127278095,2024-04-25 22:49:04.478677,2024-04-25 22:49:07.871357,0 days 00:00:03.392680,0.5,480.0,550.0,2.0,COMPLETE,,,,,,
95.0,-988.6524552204685,2024-04-25 22:49:07.872359,2024-04-25 22:49:11.166336,0 days 00:00:03.293977,0.5,480.0,540.0,2.0,COMPLETE,,,,,,
