number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
54.0,0.0007670185520897758,2024-04-26 00:34:26.078189,2024-04-26 00:34:27.326653,0 days 00:00:01.248464,0.5,900.0,190.0,1.0,COMPLETE,,,,,,
55.0,0.0010298523330562156,2024-04-26 00:34:27.327641,2024-04-26 00:34:29.094048,0 days 00:00:01.766407,0.4,780.0,330.0,1.0,COMPLETE,,,,,,
56.0,0.00019441607400997674,2024-04-26 00:34:29.096026,2024-04-26 00:34:30.667025,0 days 00:00:01.570999,0.30000000000000004,860.0,270.0,1.0,COMPLETE,,,,,,
57.0,4.255388852552065e-05,2024-04-26 00:34:30.668050,2024-04-26 00:34:32.087319,0 days 00:00:01.419269,0.1,860.0,270.0,1.0,COMPLETE,,,,,,
58.0,0.0009292277446343624,2024-04-26 00:34:32.088295,2024-04-26 00:34:33.675700,0 days 00:00:01.587405,0.1,940.0,270.0,1.0,COMPLETE,,,,,,
59.0,0.008725716691774743,2024-04-26 00:34:33.676699,2024-04-26 00:34:35.177699,0 days 00:00:01.501000,0.2,860.0,270.0,1.0,COMPLETE,,,,,,
60.0,8.088940990090733e-07,2024-04-26 00:34:35.178698,2024-04-26 00:34:36.583528,0 days 00:00:01.404830,0.1,940.0,230.0,1.0,COMPLETE,,,,,,
61.0,0.00010983846198024452,2024-04-26 00:34:36.584505,2024-04-26 00:34:37.920570,0 days 00:00:01.336065,0.1,940.0,230.0,1.0,COMPLETE,,,,,,
62.0,0.00026102537498269655,2024-04-26 00:34:37.921571,2024-04-26 00:34:39.278571,0 days 00:00:01.357000,0.1,940.0,230.0,1.0,COMPLETE,,,,,,
63.0,3.9040223646871156e-05,2024-04-26 00:34:39.279571,2024-04-26 00:34:40.532322,0 days 00:00:01.252751,0.1,980.0,210.0,1.0,COMPLETE,,,,,,
64.0,0.004141480980949548,2024-04-26 00:34:40.533324,2024-04-26 00:34:41.796355,0 days 00:00:01.263031,0.1,980.0,210.0,1.0,COMPLETE,,,,,,
65.0,0.00023093936503139624,2024-04-26 00:34:41.797331,2024-04-26 00:34:43.458981,0 days 00:00:01.661650,0.1,900.0,290.0,1.0,COMPLETE,,,,,,
66.0,0.0021094085195398227,2024-04-26 00:34:43.459982,2024-04-26 00:34:44.993184,0 days 00:00:01.533202,0.2,940.0,250.0,1.0,COMPLETE,,,,,,
67.0,0.0012215214641389486,2024-04-26 00:34:44.995184,2024-04-26 00:34:46.545320,0 days 00:00:01.550136,0.2,980.0,250.0,1.0,COMPLETE,,,,,,
68.0,0.00034205839383091407,2024-04-26 00:34:46.547328,2024-04-26 00:34:47.593424,0 days 00:00:01.046096,0.1,820.0,210.0,1.0,COMPLETE,,,,,,
69.0,0.004794066227641458,2024-04-26 00:34:47.595410,2024-04-26 00:34:48.646859,0 days 00:00:01.051449,0.2,860.0,190.0,1.0,COMPLETE,,,,,,
70.0,0.000555471883579083,2024-04-26 00:34:48.648885,2024-04-26 00:34:50.001883,0 days 00:00:01.352998,0.1,940.0,230.0,1.0,COMPLETE,,,,,,
71.0,0.0003684750632352862,2024-04-26 00:34:50.003883,2024-04-26 00:34:51.024652,0 days 00:00:01.020769,0.1,980.0,170.0,1.0,COMPLETE,,,,,,
72.0,0.0008933697021439748,2024-04-26 00:34:51.025651,2024-04-26 00:34:51.808652,0 days 00:00:00.783001,0.2,900.0,130.0,1.0,COMPLETE,,,,,,
73.0,0.0065152459697611215,2024-04-26 00:34:51.810650,2024-04-26 00:34:52.347651,0 days 00:00:00.537001,0.1,500.0,170.0,1.0,COMPLETE,,,,,,
74.0,0.0001860041027194423,2024-04-26 00:34:52.348660,2024-04-26 00:34:53.835083,0 days 00:00:01.486423,0.2,940.0,250.0,1.0,COMPLETE,,,,,,
75.0,0.0020530324426565206,2024-04-26 00:34:53.837060,2024-04-26 00:34:54.632094,0 days 00:00:00.795034,0.9,340.0,290.0,1.0,COMPLETE,,,,,,
76.0,0.0010111500506896469,2024-04-26 00:34:54.633094,2024-04-26 00:34:56.445707,0 days 00:00:01.812613,0.1,860.0,330.0,1.0,COMPLETE,,,,,,
77.0,0.00010762605951863441,2024-04-26 00:34:56.447682,2024-04-26 00:34:57.401848,0 days 00:00:00.954166,0.1,820.0,190.0,1.0,COMPLETE,,,,,,
78.0,0.004218833344426558,2024-04-26 00:34:57.403394,2024-04-26 00:34:58.589064,0 days 00:00:01.185670,0.2,820.0,230.0,1.0,COMPLETE,,,,,,
79.0,0.00026032532739055943,2024-04-26 00:34:58.590080,2024-04-26 00:34:59.739916,0 days 00:00:01.149836,0.1,900.0,210.0,1.0,COMPLETE,,,,,,
80.0,0.0052233966256454096,2024-04-26 00:34:59.741936,2024-04-26 00:35:00.321137,0 days 00:00:00.579201,0.30000000000000004,460.0,190.0,2.0,COMPLETE,,,,,,
81.0,0.0034870638210966346,2024-04-26 00:35:00.323136,2024-04-26 00:35:00.949690,0 days 00:00:00.626554,0.1,780.0,130.0,1.0,COMPLETE,,,,,,
82.0,0.00016023898535625446,2024-04-26 00:35:00.950693,2024-04-26 00:35:01.850912,0 days 00:00:00.900219,0.1,980.0,150.0,1.0,COMPLETE,,,,,,
83.0,6.216017146887362e-05,2024-04-26 00:35:01.851917,2024-04-26 00:35:02.749933,0 days 00:00:00.898016,0.1,980.0,150.0,1.0,COMPLETE,,,,,,
84.0,0.0026932620551023603,2024-04-26 00:35:02.750935,2024-04-26 00:35:04.351569,0 days 00:00:01.600634,0.1,940.0,270.0,1.0,COMPLETE,,,,,,
85.0,0.0019348027944576895,2024-04-26 00:35:04.352571,2024-04-26 00:35:05.038569,0 days 00:00:00.685998,0.2,980.0,110.0,1.0,COMPLETE,,,,,,
86.0,0.00023396060568269125,2024-04-26 00:35:05.039569,2024-04-26 00:35:06.990260,0 days 00:00:01.950691,0.1,900.0,350.0,1.0,COMPLETE,,,,,,
87.0,0.00759002327585088,2024-04-26 00:35:06.991263,2024-04-26 00:35:07.515488,0 days 00:00:00.524225,0.2,540.0,150.0,1.0,COMPLETE,,,,,,
88.0,0.005274161750023825,2024-04-26 00:35:07.517136,2024-04-26 00:35:08.392762,0 days 00:00:00.875626,0.1,620.0,230.0,1.0,COMPLETE,,,,,,
89.0,0.001616940952816838,2024-04-26 00:35:08.393765,2024-04-26 00:35:09.504741,0 days 00:00:01.110976,0.30000000000000004,860.0,190.0,1.0,COMPLETE,,,,,,
90.0,0.0005079157593955687,2024-04-26 00:35:09.506740,2024-04-26 00:35:11.239806,0 days 00:00:01.733066,0.2,940.0,290.0,1.0,COMPLETE,,,,,,
91.0,0.0013988774788998445,2024-04-26 00:35:11.240828,2024-04-26 00:35:12.141902,0 days 00:00:00.901074,0.1,980.0,150.0,1.0,COMPLETE,,,,,,
92.0,0.001855532394299844,2024-04-26 00:35:12.142903,2024-04-26 00:35:12.696904,0 days 00:00:00.554001,0.1,980.0,90.0,1.0,COMPLETE,,,,,,
93.0,0.00010419484654512568,2024-04-26 00:35:12.697903,2024-04-26 00:35:13.417902,0 days 00:00:00.719999,0.1,900.0,130.0,1.0,COMPLETE,,,,,,
94.0,0.0003681652105158403,2024-04-26 00:35:13.418902,2024-04-26 00:35:14.272726,0 days 00:00:00.853824,0.1,820.0,170.0,1.0,COMPLETE,,,,,,
95.0,0.003543908385291532,2024-04-26 00:35:14.273754,2024-04-26 00:35:15.880749,0 days 00:00:01.606995,0.5,900.0,250.0,1.0,COMPLETE,,,,,,
96.0,0.0002819449228219509,2024-04-26 00:35:15.881732,2024-04-26 00:35:17.017440,0 days 00:00:01.135708,0.2,860.0,210.0,1.0,COMPLETE,,,,,,
97.0,6.457839853592277e-05,2024-04-26 00:35:17.018439,2024-04-26 00:35:17.546440,0 days 00:00:00.528001,0.1,940.0,90.0,1.0,COMPLETE,,,,,,
98.0,0.015181041575741959,2024-04-26 00:35:17.548417,2024-04-26 00:35:17.813438,0 days 00:00:00.265021,0.1,780.0,50.0,1.0,COMPLETE,,,,,,
99.0,0.0017088038361446204,2024-04-26 00:35:17.814438,2024-04-26 00:35:18.232840,0 days 00:00:00.418402,0.2,900.0,70.0,1.0,COMPLETE,,,,,,
100.0,0.0019010234261879584,2024-04-26 00:35:18.234022,2024-04-26 00:35:18.488801,0 days 00:00:00.254779,0.1,420.0,90.0,1.0,COMPLETE,,,,,,
101.0,0.002780798220615014,2024-04-26 00:35:18.489807,2024-04-26 00:35:19.239800,0 days 00:00:00.749993,0.1,940.0,130.0,1.0,COMPLETE,,,,,,
102.0,0.002153538502814973,2024-04-26 00:35:19.240778,2024-04-26 00:35:19.543803,0 days 00:00:00.303025,0.1,900.0,50.0,1.0,COMPLETE,,,,,,
103.0,0.001827736864519345,2024-04-26 00:35:19.544777,2024-04-26 00:35:20.181799,0 days 00:00:00.637022,0.1,940.0,110.0,1.0,COMPLETE,,,,,,
104.0,0.0005381306684844665,2024-04-26 00:35:20.182802,2024-04-26 00:35:22.046482,0 days 00:00:01.863680,0.2,860.0,330.0,1.0,COMPLETE,,,,,,
105.0,0.00015210907738614138,2024-04-26 00:35:22.047482,2024-04-26 00:35:23.611313,0 days 00:00:01.563831,0.1,820.0,310.0,1.0,COMPLETE,,,,,,
106.0,0.0042107668399885,2024-04-26 00:35:23.612314,2024-04-26 00:35:24.751689,0 days 00:00:01.139375,0.1,940.0,190.0,1.0,COMPLETE,,,,,,
107.0,0.011035015530307129,2024-04-26 00:35:24.753690,2024-04-26 00:35:25.281712,0 days 00:00:00.528022,0.2,900.0,90.0,1.0,COMPLETE,,,,,,
108.0,0.0006291730143013033,2024-04-26 00:35:25.282713,2024-04-26 00:35:26.895012,0 days 00:00:01.612299,0.1,980.0,270.0,1.0,COMPLETE,,,,,,
109.0,0.0006408454037735519,2024-04-26 00:35:26.896018,2024-04-26 00:35:28.075990,0 days 00:00:01.179972,0.4,740.0,230.0,1.0,COMPLETE,,,,,,
110.0,0.0008024358600065725,2024-04-26 00:35:28.077990,2024-04-26 00:35:29.236125,0 days 00:00:01.158135,0.1,820.0,230.0,1.0,COMPLETE,,,,,,
111.0,0.0013927761744048223,2024-04-26 00:35:29.237134,2024-04-26 00:35:30.850630,0 days 00:00:01.613496,0.1,820.0,310.0,1.0,COMPLETE,,,,,,
